Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,S,S_1,S_2
0,715.0978,0.13849998,0.19779998,0.77546555,0.7582993,1703,883,820
1,715.0972,0.13849998,0.19779998,0.77546555,0.75829923,1703,883,820
2,715.0966,0.13849998,0.19779998,0.7754655,0.7582992,1703,883,820
3,715.09607,0.13849998,0.19779998,0.7754654,0.758299,1703,883,820
4,715.09546,0.13849998,0.19779998,0.7754654,0.7582989,1703,883,820
5,715.0949,0.13849998,0.19779998,0.77546537,0.7582987,1703,883,820
6,715.0943,0.13849998,0.19779998,0.7754652,0.75829864,1703,883,820
7,715.09375,0.13849998,0.1979,0.7754652,0.75829846,1703,883,820
8,715.0931,0.13849998,0.1979,0.77546513,0.7582984,1703,883,820
9,715.0926,0.13800001,0.1979,0.7754651,0.75829834,1703,883,820
10,715.09204,0.13800001,0.1979,0.775465,0.75829816,1703,883,820
11,715.09143,0.13800001,0.1979,0.77546495,0.75829804,1703,883,820
12,715.09076,0.13800001,0.1979,0.77546495,0.75829786,1703,883,820
13,715.0902,0.13749999,0.1979,0.77546483,0.7582978,1703,883,820
14,715.08966,0.13749999,0.1979,0.7754648,0.7582977,1703,883,820
15,715.0891,0.13749999,0.1979,0.7754647,0.75829756,1703,883,820
16,715.08856,0.13749999,0.1979,0.77546465,0.7582974,1703,883,820
17,715.088,0.13749999,0.1979,0.7754646,0.7582974,1703,883,820
18,715.0873,0.13749999,0.1979,0.77546453,0.7582972,1703,883,820
19,715.0868,0.13749999,0.19779998,0.7754645,0.7582971,1703,883,820
20,715.0863,0.13749999,0.19779998,0.77546436,0.7582969,1703,883,820
21,715.0856,0.13749999,0.19779998,0.77546436,0.7582968,1703,883,820
22,715.085,0.13749999,0.19779998,0.7754643,0.75829667,1703,883,820
23,715.08435,0.13749999,0.19779998,0.77546424,0.75829655,1703,883,820
24,715.0838,0.13749999,0.19770002,0.7754642,0.7582964,1703,883,820
25,715.0832,0.13749999,0.19770002,0.7754641,0.7582963,1703,883,820
26,715.0825,0.13749999,0.19770002,0.77546406,0.7582962,1703,883,820
27,715.08203,0.13749999,0.19770002,0.77546394,0.7582961,1703,883,820
28,715.08136,0.13749999,0.19770002,0.7754639,0.758296,1703,883,820
29,715.08075,0.13749999,0.19770002,0.7754639,0.7582958,1703,883,820
30,715.08014,0.13749999,0.19779998,0.77546376,0.7582957,1703,883,820
31,715.0796,0.13749999,0.1979,0.77546376,0.7582956,1703,883,820
32,715.07904,0.13749999,0.1979,0.77546364,0.7582954,1703,883,820
33,715.0785,0.13749999,0.1979,0.77546364,0.75829536,1703,883,820
34,715.07794,0.13749999,0.1979,0.77546364,0.7582953,1703,883,820
35,715.07733,0.13749999,0.1979,0.77546346,0.7582951,1703,883,820
36,715.07684,0.13749999,0.1979,0.77546346,0.758295,1703,883,820
37,715.07623,0.13749999,0.19800001,0.77546334,0.7582948,1703,883,820
38,715.0755,0.13749999,0.19800001,0.7754633,0.75829476,1703,883,820
39,715.0749,0.13749999,0.19800001,0.7754632,0.7582945,1703,883,820
40,715.0742,0.13749999,0.19800001,0.7754632,0.7582945,1703,883,820
41,715.07367,0.13749999,0.19800001,0.77546316,0.7582944,1703,883,820
