Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,S,S_1,S_2
0,423.8184,0.080869555,0.11608696,0.73105836,0.56915385,2054,1203,851
1,421.14624,0.08130437,0.11521739,0.7299686,0.56928664,2054,1203,851
2,418.4656,0.08130437,0.11521739,0.72884667,0.5694676,2054,1203,851
3,415.77246,0.08130437,0.11521739,0.72769034,0.5697157,2054,1203,851
4,413.06238,0.080869555,0.11478263,0.72649574,0.5700612,2054,1203,851
5,410.34332,0.0804348,0.11391306,0.72525674,0.57054895,2054,1203,851
6,407.66144,0.0804348,0.11347824,0.72397393,0.5711952,2054,1203,851
7,405.06784,0.07956523,0.112173915,0.7226746,0.5718607,2054,1203,851
8,402.51138,0.07956523,0.112173915,0.7213906,0.57237434,2054,1203,851
9,399.94113,0.07956523,0.112173915,0.7201124,0.57277346,2054,1203,851
10,397.34903,0.07956523,0.112173915,0.7188248,0.5731265,2054,1203,851
11,394.7357,0.07956523,0.112173915,0.71752095,0.57346594,2054,1203,851
12,392.0997,0.07956523,0.11086959,0.7161966,0.5738062,2054,1203,851
13,389.44022,0.07913041,0.1095652,0.71484935,0.57415503,2054,1203,851
14,386.75916,0.078695655,0.108695626,0.7134816,0.5745129,2054,1203,851
15,384.04602,0.078695655,0.10826087,0.71208507,0.57488585,2054,1203,851
16,381.29788,0.0782609,0.10826087,0.71065766,0.5752748,2054,1203,851
17,378.52805,0.0782609,0.108695626,0.709208,0.5756693,2054,1203,851
18,375.71396,0.07782608,0.108695626,0.70772123,0.57608306,2054,1203,851
19,372.8513,0.07782608,0.108695626,0.7061942,0.5765172,2054,1203,851
20,369.93533,0.07739133,0.10913044,0.7046234,0.5769728,2054,1203,851
21,366.96146,0.07739133,0.10913044,0.7030052,0.57745093,2054,1203,851
22,363.9253,0.07782608,0.10826087,0.7013357,0.5779525,2054,1203,851
23,360.8225,0.07782608,0.10826087,0.69961315,0.578474,2054,1203,851
24,357.64792,0.076521754,0.1073913,0.6978308,0.5790219,2054,1203,851
25,354.39954,0.07608694,0.10565215,0.6959861,0.57959515,2054,1203,851
26,351.0716,0.075217366,0.104347825,0.69407296,0.5801963,2054,1203,851
27,347.67938,0.07478261,0.104347825,0.6920921,0.5808229,2054,1203,851
28,344.22565,0.07347828,0.104347825,0.69004786,0.58147436,2054,1203,851
29,340.677,0.073043466,0.104347825,0.68791765,0.582159,2054,1203,851
