Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,S,S_1,S_2
0,342.91507,0.16190475,0.3047619,0.6793145,0.6725511,1302,656,646
1,342.91315,0.16190475,0.3047619,0.6793143,0.67255056,1302,656,646
2,342.91125,0.16190475,0.3047619,0.67931414,0.67254996,1302,656,646
3,342.9093,0.16190475,0.3047619,0.67931396,0.6725494,1302,656,646
4,342.90735,0.16190475,0.3047619,0.6793138,0.6725489,1302,656,646
5,342.90546,0.16190475,0.3047619,0.67931354,0.6725483,1302,656,646
6,342.90353,0.16190475,0.3047619,0.67931336,0.67254776,1302,656,646
7,342.90158,0.16190475,0.3047619,0.6793131,0.67254716,1302,656,646
8,342.89966,0.16190475,0.3047619,0.67931294,0.6725466,1302,656,646
9,342.89764,0.16190475,0.3047619,0.6793127,0.672546,1302,656,646
10,342.89572,0.16190475,0.3047619,0.6793125,0.67254555,1302,656,646
11,342.89374,0.16190475,0.3047619,0.6793123,0.6725449,1302,656,646
12,342.8918,0.16190475,0.3040293,0.6793121,0.6725444,1302,656,646
13,342.88986,0.16190475,0.3040293,0.6793119,0.6725438,1302,656,646
14,342.88788,0.16190475,0.3040293,0.6793117,0.6725433,1302,656,646
15,342.88593,0.16190475,0.3040293,0.6793115,0.67254263,1302,656,646
16,342.88397,0.16190475,0.3047619,0.67931134,0.67254215,1302,656,646
17,342.88202,0.16190475,0.3047619,0.6793111,0.67254156,1302,656,646
18,342.88004,0.16190475,0.3047619,0.6793109,0.672541,1302,656,646
19,342.87805,0.16190475,0.3047619,0.6793107,0.6725404,1302,656,646
20,342.87607,0.16190475,0.3047619,0.6793105,0.6725399,1302,656,646
21,342.8741,0.16190475,0.3047619,0.6793103,0.6725393,1302,656,646
22,342.87216,0.16190475,0.3047619,0.67931,0.67253876,1302,656,646
23,342.87015,0.16190475,0.3047619,0.67930984,0.67253816,1302,656,646
24,342.8682,0.16190475,0.3047619,0.67930967,0.6725376,1302,656,646
25,342.86615,0.16190475,0.3047619,0.6793095,0.672537,1302,656,646
26,342.8642,0.16190475,0.3047619,0.6793093,0.6725365,1302,656,646
27,342.86212,0.16190475,0.3047619,0.67930907,0.67253584,1302,656,646
28,342.86017,0.16190475,0.3047619,0.6793089,0.6725353,1302,656,646
29,342.85822,0.16190475,0.3047619,0.67930865,0.6725347,1302,656,646
30,342.85623,0.16190475,0.3047619,0.6793084,0.67253417,1302,656,646
31,342.8542,0.16190475,0.3047619,0.67930824,0.6725335,1302,656,646
32,342.85223,0.16190475,0.3054945,0.67930806,0.67253304,1302,656,646
33,342.85028,0.16190475,0.3054945,0.6793078,0.6725324,1302,656,646
34,342.8482,0.16190475,0.3054945,0.67930764,0.67253184,1302,656,646
35,342.8462,0.16190475,0.3054945,0.6793074,0.67253125,1302,656,646
36,342.84418,0.16190475,0.3054945,0.67930716,0.6725307,1302,656,646
37,342.84216,0.16190475,0.3054945,0.679307,0.6725301,1302,656,646
38,342.84015,0.16190475,0.3062271,0.67930675,0.6725295,1302,656,646
39,342.83813,0.16190475,0.3062271,0.67930657,0.672529,1302,656,646
40,342.83612,0.16190475,0.3062271,0.6793063,0.6725284,1302,656,646
41,342.8341,0.16190475,0.3062271,0.67930615,0.6725278,1302,656,646
42,342.83203,0.16190475,0.3062271,0.6793059,0.6725272,1302,656,646
43,342.83002,0.16117215,0.3062271,0.67930573,0.67252666,1302,656,646
44,342.82797,0.16117215,0.3062271,0.6793055,0.672526,1302,656,646
45,342.82593,0.16117215,0.3062271,0.6793053,0.6725255,1302,656,646
46,342.82388,0.16117215,0.3062271,0.6793051,0.67252487,1302,656,646
47,342.82184,0.16117215,0.3062271,0.67930484,0.6725243,1302,656,646
48,342.8198,0.16117215,0.3062271,0.67930466,0.6725237,1302,656,646
49,342.8178,0.16117215,0.3062271,0.6793044,0.67252314,1302,656,646
50,342.8157,0.16117215,0.3062271,0.67930424,0.67252254,1302,656,646
51,342.8136,0.16117215,0.3062271,0.679304,0.6725219,1302,656,646
52,342.81155,0.16117215,0.3062271,0.6793038,0.67252135,1302,656,646
53,342.80948,0.16117215,0.3062271,0.6793035,0.67252076,1302,656,646
54,342.80746,0.16117215,0.3062271,0.67930335,0.6725201,1302,656,646
55,342.80536,0.16117215,0.3062271,0.67930317,0.67251956,1302,656,646
56,342.8033,0.16117215,0.3062271,0.6793029,0.67251897,1302,656,646
57,342.80124,0.16117215,0.3062271,0.6793027,0.67251843,1302,656,646
58,342.79922,0.16190475,0.3062271,0.67930245,0.6725178,1302,656,646
59,342.79712,0.16190475,0.3062271,0.6793023,0.6725172,1302,656,646
60,342.795,0.16190475,0.3062271,0.67930204,0.6725166,1302,656,646
61,342.79288,0.16190475,0.3062271,0.67930174,0.672516,1302,656,646
62,342.79083,0.16190475,0.3062271,0.67930156,0.6725154,1302,656,646
63,342.78876,0.16190475,0.3062271,0.6793013,0.67251486,1302,656,646
64,342.78668,0.16190475,0.3062271,0.6793011,0.6725142,1302,656,646
65,342.78455,0.16190475,0.3062271,0.6793009,0.6725136,1302,656,646
66,342.78247,0.16190475,0.3062271,0.6793006,0.672513,1302,656,646
67,342.78036,0.16190475,0.3062271,0.6793004,0.6725125,1302,656,646
68,342.77826,0.16190475,0.3062271,0.6793002,0.6725119,1302,656,646
69,342.7761,0.16190475,0.3062271,0.6793,0.6725112,1302,656,646
70,342.774,0.16190475,0.3062271,0.6792998,0.6725107,1302,656,646
71,342.77185,0.16190475,0.3062271,0.6792996,0.67251,1302,656,646
72,342.76978,0.16190475,0.3062271,0.67929935,0.67250943,1302,656,646
73,342.76767,0.16190475,0.3062271,0.6792991,0.67250884,1302,656,646
74,342.76556,0.16190475,0.3062271,0.6792989,0.67250824,1302,656,646
75,342.76346,0.16190475,0.3062271,0.67929864,0.67250764,1302,656,646
76,342.76126,0.16190475,0.3062271,0.6792984,0.67250705,1302,656,646
77,342.7591,0.16190475,0.3062271,0.67929816,0.6725064,1302,656,646
78,342.75693,0.16190475,0.3062271,0.6792979,0.6725058,1302,656,646
79,342.75482,0.16190475,0.3062271,0.67929775,0.6725052,1302,656,646
80,342.75266,0.16190475,0.3062271,0.6792975,0.6725046,1302,656,646
81,342.7505,0.16190475,0.3062271,0.67929727,0.67250395,1302,656,646
82,342.74832,0.16190475,0.3062271,0.67929703,0.67250335,1302,656,646
83,342.7462,0.16190475,0.3062271,0.6792968,0.67250276,1302,656,646
84,342.74405,0.16190475,0.3062271,0.6792966,0.6725021,1302,656,646
85,342.74185,0.16190475,0.3062271,0.6792964,0.6725015,1302,656,646
86,342.73972,0.16190475,0.3062271,0.6792961,0.67250097,1302,656,646
87,342.73758,0.16190475,0.3062271,0.67929584,0.67250025,1302,656,646
88,342.73538,0.16190475,0.3062271,0.6792956,0.6724997,1302,656,646
89,342.7332,0.16190475,0.3062271,0.67929536,0.6724991,1302,656,646
90,342.73105,0.16190475,0.3062271,0.6792951,0.67249846,1302,656,646
91,342.72888,0.16190475,0.3062271,0.6792949,0.67249787,1302,656,646
