Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,S,S_1,S_2,S_3
0,127.801056,0.10888612,0.46433043,0.6556586,0.61384284,0.23922929,699,330,281,88
1,126.599945,0.10888612,0.46558195,0.6551597,0.6134494,0.24049206,699,330,281,88
2,125.352425,0.10888612,0.46558195,0.65462935,0.61307585,0.24175097,699,330,281,88
3,124.05344,0.10888612,0.46558195,0.65405697,0.6127278,0.2430496,699,330,281,88
4,122.685974,0.1101377,0.46558195,0.6534372,0.6124083,0.24433838,699,330,281,88
5,121.23653,0.1101377,0.46558195,0.65276194,0.6121158,0.24564639,699,330,281,88
6,119.70046,0.1101377,0.46558195,0.6520227,0.6118602,0.246948,699,330,281,88
7,118.0648,0.10888612,0.46433043,0.65120506,0.6116455,0.24824645,699,330,281,88
8,116.33234,0.10888612,0.46433043,0.6503065,0.61147547,0.24953595,699,330,281,88
9,114.508415,0.1101377,0.46433043,0.6493216,0.611351,0.2508207,699,330,281,88
10,112.613106,0.10888612,0.46433043,0.64824605,0.61127836,0.25209007,699,330,281,88
11,110.67133,0.10888612,0.46558195,0.64708984,0.6112477,0.25335106,699,330,281,88
12,108.72047,0.10888612,0.46558195,0.64587355,0.6112483,0.2546049,699,330,281,88
13,106.798615,0.10888612,0.46558195,0.6446188,0.61126655,0.25586668,699,330,281,88
14,104.947014,0.10888612,0.46558195,0.6433498,0.6112967,0.25713882,699,330,281,88
15,103.19028,0.10888612,0.46558195,0.64209723,0.61132133,0.25840166,699,330,281,88
16,101.54418,0.10888612,0.46558195,0.6408857,0.61132747,0.25965726,699,330,281,88
17,100.01357,0.1101377,0.46683353,0.63972735,0.6113102,0.2609052,699,330,281,88
18,98.59925,0.1101377,0.46683353,0.6386367,0.61126405,0.26213855,699,330,281,88
19,97.28948,0.1101377,0.46683353,0.6376117,0.6111903,0.26336762,699,330,281,88
20,96.07494,0.1101377,0.46683353,0.6366539,0.6110867,0.26458913,699,330,281,88
21,94.94645,0.1101377,0.46558195,0.63576293,0.61095387,0.2658003,699,330,281,88
22,93.893715,0.1101377,0.46558195,0.63493234,0.6107962,0.26700094,699,330,281,88
23,92.90314,0.1101377,0.46558195,0.6341516,0.6106163,0.2681916,699,330,281,88
24,91.96586,0.1101377,0.46558195,0.6334181,0.61041456,0.26937592,699,330,281,88
25,91.075836,0.1101377,0.46558195,0.6327235,0.61019766,0.2705498,699,330,281,88
26,90.23053,0.1101377,0.46558195,0.63206583,0.60996944,0.2717061,699,330,281,88
27,89.41974,0.1101377,0.46558195,0.6314372,0.6097296,0.27285138,699,330,281,88
28,88.63822,0.1101377,0.46433043,0.6308358,0.60947734,0.27399108,699,330,281,88
29,87.884056,0.1101377,0.46433043,0.63025635,0.6092195,0.2751212,699,330,281,88
30,87.153625,0.1101377,0.46433043,0.6296933,0.608957,0.27624017,699,330,281,88
31,86.443634,0.1101377,0.46433043,0.62914675,0.6086884,0.27735388,699,330,281,88
32,85.75869,0.1101377,0.46307886,0.62861395,0.6084207,0.27844736,699,330,281,88
33,85.09038,0.1101377,0.46307886,0.6280891,0.6081552,0.27952966,699,330,281,88
34,84.4378,0.1101377,0.46307886,0.6275776,0.6078839,0.28060344,699,330,281,88
35,83.797195,0.11138922,0.46307886,0.6270769,0.60760695,0.28167292,699,330,281,88
36,83.1691,0.11138922,0.46182728,0.62658244,0.607331,0.28273305,699,330,281,88
37,82.555176,0.11138922,0.46307886,0.6260988,0.60705537,0.28378257,699,330,281,88
38,81.95283,0.1126408,0.46182728,0.62562215,0.6067787,0.28482062,699,330,281,88
39,81.358864,0.1126408,0.46182728,0.6251472,0.6065041,0.28585255,699,330,281,88
40,80.77394,0.11138922,0.46307886,0.6246771,0.6062306,0.2868777,699,330,281,88
41,80.2058,0.11138922,0.46307886,0.624224,0.60595626,0.28788105,699,330,281,88
42,79.64011,0.11138922,0.46307886,0.6237631,0.6056841,0.28888255,699,330,281,88
43,79.084435,0.11138922,0.46307886,0.6233103,0.605413,0.28987533,699,330,281,88
44,78.52618,0.11138922,0.46433043,0.6228577,0.605132,0.29088148,699,330,281,88
45,77.97644,0.11138922,0.46433043,0.6224065,0.60485524,0.29187652,699,330,281,88
46,77.43214,0.11138922,0.46433043,0.62195796,0.60457844,0.29286322,699,330,281,88
47,76.896225,0.11138922,0.46433043,0.6215101,0.6043056,0.29384336,699,330,281,88
48,76.36383,0.11138922,0.46433043,0.62106574,0.6040294,0.29481733,699,330,281,88
49,75.83896,0.11138922,0.46433043,0.62061787,0.6037612,0.29578424,699,330,281,88
50,75.32288,0.11138922,0.46433043,0.6201791,0.6034916,0.29673666,699,330,281,88
51,74.81274,0.11138922,0.46307886,0.6197381,0.60322696,0.29768008,699,330,281,88
52,74.30871,0.11138922,0.46307886,0.6193031,0.6029614,0.29861468,699,330,281,88
53,73.81042,0.11138922,0.46307886,0.61886907,0.602696,0.29954574,699,330,281,88
54,73.32093,0.11138922,0.46182728,0.61843866,0.6024365,0.30045784,699,330,281,88
55,72.83513,0.11138922,0.4605757,0.618004,0.602183,0.30136576,699,330,281,88
56,72.35252,0.11138922,0.45932418,0.6175742,0.60192305,0.3022706,699,330,281,88
57,71.87742,0.11138922,0.45932418,0.61714435,0.60166985,0.3031625,699,330,281,88
58,71.40501,0.11138922,0.4580726,0.6167152,0.6014177,0.30405027,699,330,281,88
59,70.93715,0.11138922,0.4580726,0.6162861,0.6011667,0.30493164,699,330,281,88
60,70.47348,0.11138922,0.4580726,0.61585903,0.6009168,0.3058056,699,330,281,88
61,70.014496,0.11138922,0.4580726,0.6154324,0.60066664,0.30667007,699,330,281,88
62,69.558174,0.1101377,0.45556945,0.6150018,0.6004203,0.30753392,699,330,281,88
63,69.10926,0.1101377,0.45431787,0.61457705,0.60017866,0.30838633,699,330,281,88
64,68.66123,0.1101377,0.45306635,0.61414593,0.5999368,0.3092372,699,330,281,88
65,68.21995,0.1101377,0.45306635,0.6137243,0.599693,0.31007567,699,330,281,88
66,67.78342,0.1101377,0.45306635,0.61329615,0.5994601,0.31090617,699,330,281,88
67,67.34934,0.11138922,0.45306635,0.6128788,0.5992134,0.3117403,699,330,281,88
68,66.92365,0.11138922,0.45306635,0.61246026,0.598976,0.3125551,699,330,281,88
69,66.503235,0.11138922,0.45306635,0.6120433,0.59874284,0.31336138,699,330,281,88
70,66.08587,0.11138922,0.45306635,0.6116267,0.59850967,0.31416762,699,330,281,88
71,65.67078,0.11138922,0.45431787,0.61121285,0.5982725,0.31496915,699,330,281,88
72,65.26481,0.11138922,0.45431787,0.61079955,0.5980475,0.31575206,699,330,281,88
73,64.85893,0.11138922,0.45306635,0.6103825,0.59781986,0.31653944,699,330,281,88
74,64.459236,0.11138922,0.45306635,0.60997015,0.5975952,0.31731635,699,330,281,88
75,64.06077,0.11138922,0.45306635,0.60955346,0.59737456,0.31809434,699,330,281,88
76,63.666393,0.11138922,0.45306635,0.6091415,0.5971508,0.3188595,699,330,281,88
77,63.27579,0.1101377,0.45181477,0.60872567,0.596934,0.31961814,699,330,281,88
